Instance,Tree Size,Time(s),Lower Bound,Upper Bound,Status
a280.tsp,24,4.95,2579,2579,Optimal
att48.tsp,1,0.02,10628,10628,Optimal
bayg29.tsp,1,0,1610,1610,Optimal
bays29.tsp,1,0,2020,2020,Optimal
berlin52.tsp,1,0.01,7542,7542,Optimal
bier127.tsp,1,0.54,118282,118282,Optimal
brazil58.tsp,1,0.02,25395,25395,Optimal
brg180.tsp,1,0.45,1950,1950,Optimal
burma14.tsp,1,0,3323,3323,Optimal
ch130.tsp,8,0.62,6110,6110,Optimal
ch150.tsp,11,1.9,6528,6528,Optimal
d198.tsp,18,3.36,15780,15780,Optimal
dantzig42.tsp,1,0.04,699,699,Optimal
eil101.tsp,1,0.16,629,629,Optimal
eil51.tsp,1,0.04,426,426,Optimal
eil76.tsp,1,0.02,538,538,Optimal
fri26.tsp,1,0,937,937,Optimal
gil262.tsp,1751,112.47,2378,2378,Optimal
gr120.tsp,6,0.7,6942,6942,Optimal
gr137.tsp,21,1.03,69853,69853,Optimal
gr17.tsp,1,0,2085,2085,Optimal
gr202.tsp,25,2.71,40160,40160,Optimal
gr21.tsp,1,0,2707,2707,Optimal
gr229.tsp,2826,95.08,134602,134602,Optimal
gr24.tsp,1,0,1272,1272,Optimal
gr48.tsp,1,0.06,5046,5046,Optimal
gr96.tsp,120,0.84,55209,55209,Optimal
hk48.tsp,1,0.01,11461,11461,Optimal
kroA100.tsp,1,0.66,21282,21282,Optimal
kroA150.tsp,49,2.93,26524,26524,Optimal
kroA200.tsp,3554,108.26,29368,29368,Optimal
kroB100.tsp,7,0.6,22141,22141,Optimal
kroB150.tsp,809,12.71,26130,26130,Optimal
kroB200.tsp,4,2.42,29437,29437,Optimal
kroC100.tsp,1,0.42,20749,20749,Optimal
kroD100.tsp,2,0.51,21294,21294,Optimal
kroE100.tsp,134,1.26,22068,22068,Optimal
lin105.tsp,1,0.12,14379,14379,Optimal
pr107.tsp,1,0.02,44303,44303,Optimal
pr124.tsp,8,1.36,59030,59030,Optimal
pr136.tsp,5,0.85,96772,96772,Optimal
pr144.tsp,9,1.17,58537,58537,Optimal
pr152.tsp,73,2.06,73682,73682,Optimal
pr226.tsp,1,4.78,80369,80369,Optimal
pr264.tsp,1,3.57,49135,49135,Optimal
pr299.tsp,89080,7157.96,48014.5,48191,Feasible
pr76.tsp,6510,11.07,108159,108159,Optimal
rat195.tsp,1365,40.01,2323,2323,Optimal
rat99.tsp,5,0.21,1211,1211,Optimal
rd100.tsp,1,0.29,7910,7910,Optimal
si175.tsp,500,13.27,21407,21407,Optimal
st70.tsp,1,0.1,675,675,Optimal
swiss42.tsp,1,0.01,1273,1273,Optimal
ts225.tsp,193001,7173.53,122559,127378,Feasible
tsp225.tsp,1013,60.6,3916,3916,Optimal
u159.tsp,10,0.69,42080,42080,Optimal
ulysses16.tsp,1,0,6859,6859,Optimal
ulysses22.tsp,1,0,7013,7013,Optimal
